Year,NOC,Sex,Sport,Bronze,Gold,Silver,participates
1976,TCH,M,Swimming,0,0,0,1
1980,TCH,M,Swimming,0,0,0,4
1988,TCH,M,Swimming,0,0,0,6
1992,TCH,M,Swimming,0,0,0,3
1996,TCH,M,Swimming,0,0,0,4
2000,TCH,M,Swimming,0,0,0,5
2004,TCH,M,Swimming,0,0,0,6
2008,TCH,M,Swimming,0,0,0,7
2012,TCH,M,Swimming,0,0,0,3
2016,TCH,M,Swimming,0,0,0,4
2020,TCH,M,Swimming,0,0,0,5
2024,TCH,M,Swimming,0,0,0,4
1988,TCH,M,Table Tennis,0,0,0,1
1992,TCH,M,Table Tennis,0,0,0,3
1996,TCH,M,Table Tennis,0,0,0,2
2000,TCH,M,Table Tennis,0,0,0,2
2004,TCH,M,Table Tennis,0,0,0,2
2008,TCH,M,Table Tennis,0,0,0,1
2016,TCH,M,Table Tennis,0,0,0,3
2020,TCH,M,Table Tennis,0,0,0,4
2024,TCH,M,Table Tennis,0,0,0,1
1920,TCH,M,Tennis,0,0,0,6
1924,TCH,M,Tennis,0,0,0,5
1988,TCH,M,Tennis,1,1,0,2
1992,TCH,M,Tennis,0,0,0,1
1996,TCH,M,Tennis,0,0,0,4
2000,TCH,M,Tennis,0,0,0,6
2004,TCH,M,Tennis,0,0,0,7
2008,TCH,M,Tennis,0,0,0,7
2012,TCH,M,Tennis,0,0,0,4
2016,TCH,M,Tennis,0,0,0,4
2020,TCH,M,Tennis,0,0,0,4
2024,TCH,M,Tennis,0,1,0,3
2000,TCH,M,Triathlon,1,0,0,3
2004,TCH,M,Triathlon,0,0,0,2
2008,TCH,M,Triathlon,0,0,0,2
2012,TCH,M,Triathlon,0,0,0,3
2016,TCH,M,Triathlon,0,0,0,1
1964,TCH,M,Volleyball,0,0,1,11
1968,TCH,M,Volleyball,1,0,0,12
1972,TCH,M,Volleyball,0,0,0,12
1976,TCH,M,Volleyball,0,0,0,12
1980,TCH,M,Volleyball,0,0,0,12
1996,TCH,M,Volleyball,0,0,0,2
2000,TCH,M,Volleyball,0,0,0,2
2012,TCH,M,Volleyball,0,0,0,2
2020,TCH,M,Volleyball,0,0,0,2
2024,TCH,M,Volleyball,0,0,0,2
1920,TCH,M,Water Polo,0,0,0,8
1924,TCH,M,Water Polo,0,0,0,9
1928,TCH,M,Water Polo,0,0,0,7
1936,TCH,M,Water Polo,0,0,0,7
1992,TCH,M,Water Polo,0,0,0,12
2000,TCH,M,Water Polo,0,0,0,13
1920,TCH,M,Weightlifting,0,0,0,2
1924,TCH,M,Weightlifting,1,0,0,6
1928,TCH,M,Weightlifting,1,0,0,6
1932,TCH,M,Weightlifting,0,1,1,2
1936,TCH,M,Weightlifting,0,0,1,6
1952,TCH,M,Weightlifting,0,0,0,4
1956,TCH,M,Weightlifting,0,0,0,1
1960,TCH,M,Weightlifting,0,0,0,3
1964,TCH,M,Weightlifting,0,1,0,2
1968,TCH,M,Weightlifting,0,0,0,4
1972,TCH,M,Weightlifting,0,0,0,3
1976,TCH,M,Weightlifting,0,0,0,7
1980,TCH,M,Weightlifting,1,1,0,10
1988,TCH,M,Weightlifting,0,0,0,5
1992,TCH,M,Weightlifting,0,0,0,5
1996,TCH,M,Weightlifting,0,0,0,5
2000,TCH,M,Weightlifting,0,0,0,1
2004,TCH,M,Weightlifting,0,0,0,4
2008,TCH,M,Weightlifting,0,0,0,2
2012,TCH,M,Weightlifting,0,0,0,2
2016,TCH,M,Weightlifting,0,0,0,2
2020,TCH,M,Weightlifting,0,0,0,1
2024,TCH,M,Weightlifting,0,0,0,1
1920,TCH,M,Wrestling,0,0,0,10
1924,TCH,M,Wrestling,0,0,0,9
1928,TCH,M,Wrestling,0,0,1,6
1932,TCH,M,Wrestling,0,0,1,2
1936,TCH,M,Wrestling,0,0,2,13
1948,TCH,M,Wrestling,0,0,0,3
1952,TCH,M,Wrestling,1,0,1,4
1960,TCH,M,Wrestling,1,0,0,5
1964,TCH,M,Wrestling,0,0,1,4
1968,TCH,M,Wrestling,2,0,0,6
1972,TCH,M,Wrestling,0,1,0,10
1976,TCH,M,Wrestling,0,0,1,5
1980,TCH,M,Wrestling,2,0,0,8
1988,TCH,M,Wrestling,1,0,0,9
1992,TCH,M,Wrestling,0,0,0,7
1996,TCH,M,Wrestling,0,0,0,7
2000,TCH,M,Wrestling,0,0,0,7
2004,TCH,M,Wrestling,0,0,0,5
2008,TCH,M,Wrestling,1,0,0,3
2012,TCH,M,Wrestling,0,0,0,1
2020,TCH,M,Wrestling,0,0,0,2
2024,TCH,M,Wrestling,0,0,0,1
2016,TGA,F,Archery,0,0,0,1
1988,TGA,F,Athletics,0,0,0,1
1996,TGA,F,Athletics,0,0,0,1
2000,TGA,F,Athletics,0,0,0,1
2004,TGA,F,Athletics,0,0,0,1
2008,TGA,F,Athletics,0,0,0,1
2012,TGA,F,Athletics,0,0,0,1
2016,TGA,F,Athletics,0,0,0,1
2024,TGA,F,Boxing,0,0,0,1
2016,TGA,F,Swimming,0,0,0,1
2020,TGA,F,Swimming,0,0,0,1
2024,TGA,F,Swimming,0,0,0,1
2020,TGA,F,Taekwondo,0,0,0,1
2020,TGA,F,Weightlifting,0,0,0,1
2004,TGA,M,Archery,0,0,0,1
2016,TGA,M,Archery,0,0,0,1
1988,TGA,M,Athletics,0,0,0,1
1992,TGA,M,Athletics,0,0,0,4
1996,TGA,M,Athletics,0,0,0,1
2000,TGA,M,Athletics,0,0,0,1
2004,TGA,M,Athletics,0,0,0,1
2008,TGA,M,Athletics,0,0,0,1
2012,TGA,M,Athletics,0,0,0,1
2016,TGA,M,Athletics,0,0,0,1
2020,TGA,M,Athletics,0,0,0,1
2024,TGA,M,Athletics,0,0,0,1
1984,TGA,M,Boxing,0,0,0,7
1988,TGA,M,Boxing,0,0,0,3
1996,TGA,M,Boxing,0,0,1,2
2004,TGA,M,Boxing,0,0,0,1
2004,TGA,M,Judo,0,0,0,1
2012,TGA,M,Swimming,0,0,0,1
2016,TGA,M,Swimming,0,0,0,1
2020,TGA,M,Swimming,0,0,0,1
2024,TGA,M,Swimming,0,0,0,1
2016,TGA,M,Taekwondo,0,0,0,1
2020,TGA,M,Taekwondo,0,0,0,1
1992,TGA,M,Weightlifting,0,0,0,1
1996,TGA,M,Weightlifting,0,0,0,1
2000,TGA,M,Weightlifting,0,0,0,1
2008,TGA,M,Weightlifting,0,0,0,1
1976,THA,F,Archery,0,0,0,1
1964,THA,F,Athletics,0,0,0,6
1984,THA,F,Athletics,0,0,0,6
1992,THA,F,Athletics,0,0,0,9
1996,THA,F,Athletics,0,0,0,4
2000,THA,F,Athletics,0,0,0,4
2004,THA,F,Athletics,0,0,0,3
2008,THA,F,Athletics,0,0,0,7
2012,THA,F,Athletics,0,0,0,1
2016,THA,F,Athletics,0,0,0,3
2020,THA,F,Athletics,0,0,0,1
2024,THA,F,Athletics,0,0,0,1
1992,THA,F,Badminton,0,0,0,4
1996,THA,F,Badminton,0,0,0,2
2000,THA,F,Badminton,0,0,0,2
2004,THA,F,Badminton,0,0,0,3
2008,THA,F,Badminton,0,0,0,2
2012,THA,F,Badminton,0,0,0,2
2016,THA,F,Badminton,0,0,0,5
2020,THA,F,Badminton,0,0,0,5
2024,THA,F,Badminton,0,0,0,5
2016,THA,F,Boxing,0,0,0,1
2020,THA,F,Boxing,1,0,0,3
2024,THA,F,Boxing,1,0,0,5
2020,THA,F,Canoeing,0,0,0,1
2008,THA,F,Cycling,0,0,0,1
2012,THA,F,Cycling,0,0,0,1
2016,THA,F,Cycling,0,0,0,2
2020,THA,F,Cycling,0,0,0,2
2024,THA,F,Cycling,0,0,0,1
1996,THA,F,Diving,0,0,0,1
2012,THA,F,Equestrianism,0,0,0,1
2020,THA,F,Equestrianism,0,0,0,1
2024,THA,F,Equestrianism,0,0,0,1
2016,THA,F,Golf,0,0,0,2
2020,THA,F,Golf,0,0,0,2
2024,THA,F,Golf,0,0,0,2
1992,THA,F,Judo,0,0,0,2
2020,THA,F,Judo,0,0,0,1
2000,THA,F,Rowing,0,0,0,1
2004,THA,F,Rowing,0,0,0,1
2012,THA,F,Rowing,0,0,0,1
2016,THA,F,Rowing,0,0,0,1
1964,THA,F,Sailing,0,0,0,1
1992,THA,F,Sailing,0,0,0,1
2000,THA,F,Sailing,0,0,0,1
2008,THA,F,Sailing,0,0,0,1
2012,THA,F,Sailing,0,0,0,1
2016,THA,F,Sailing,0,0,0,2
2020,THA,F,Sailing,0,0,0,2
2024,THA,F,Sailing,0,0,0,2
1984,THA,F,Shooting,0,0,0,4
1988,THA,F,Shooting,0,0,0,2
1992,THA,F,Shooting,0,0,0,1
1996,THA,F,Shooting,0,0,0,1
2008,THA,F,Shooting,0,0,0,4
2012,THA,F,Shooting,0,0,0,3
2016,THA,F,Shooting,0,0,0,3
2020,THA,F,Shooting,0,0,0,4
2024,THA,F,Shooting,0,0,0,2
2024,THA,F,Skateboarding,0,0,0,1
1976,THA,F,Swimming,0,0,0,2
1992,THA,F,Swimming,0,0,0,4
1996,THA,F,Swimming,0,0,0,2
2000,THA,F,Swimming,0,0,0,3
2004,THA,F,Swimming,0,0,0,3
2008,THA,F,Swimming,0,0,0,2
2012,THA,F,Swimming,0,0,0,1
2016,THA,F,Swimming,0,0,0,1
2020,THA,F,Swimming,0,0,0,1
2024,THA,F,Swimming,0,0,0,1
2000,THA,F,Table Tennis,0,0,0,1
2004,THA,F,Table Tennis,0,0,0,1
2008,THA,F,Table Tennis,0,0,0,1
2012,THA,F,Table Tennis,0,0,0,1
2016,THA,F,Table Tennis,0,0,0,2
2020,THA,F,Table Tennis,0,0,0,2
2024,THA,F,Table Tennis,0,0,0,3
2004,THA,F,Taekwondo,1,0,0,2
2008,THA,F,Taekwondo,0,0,1,2
2012,THA,F,Taekwondo,1,0,0,2
2016,THA,F,Taekwondo,1,0,0,2
2020,THA,F,Taekwondo,0,1,0,1
2024,THA,F,Taekwondo,0,1,0,2
1992,THA,F,Tennis,0,0,0,2
1996,THA,F,Tennis,0,0,0,2
2000,THA,F,Tennis,0,0,0,2
2004,THA,F,Tennis,0,0,0,1
2008,THA,F,Tennis,0,0,0,1
2000,THA,F,Weightlifting,1,0,0,4
2004,THA,F,Weightlifting,2,2,0,4
2008,THA,F,Weightlifting,0,1,0,4
2012,THA,F,Weightlifting,0,0,1,4
2016,THA,F,Weightlifting,0,2,1,4
2024,THA,F,Weightlifting,1,0,0,2
1976,THA,M,Archery,0,0,0,2
1984,THA,M,Archery,0,0,0,2
2012,THA,M,Archery,0,0,0,1
2016,THA,M,Archery,0,0,0,1
1952,THA,M,Athletics,0,0,0,8
1956,THA,M,Athletics,0,0,0,8
1960,THA,M,Athletics,0,0,0,8
1964,THA,M,Athletics,0,0,0,12
1972,THA,M,Athletics,0,0,0,4
1976,THA,M,Athletics,0,0,0,4
1984,THA,M,Athletics,0,0,0,4
1988,THA,M,Athletics,0,0,0,4
1992,THA,M,Athletics,0,0,0,9
1996,THA,M,Athletics,0,0,0,4
2000,THA,M,Athletics,0,0,0,8
2008,THA,M,Athletics,0,0,0,4
2012,THA,M,Athletics,0,0,0,1
2016,THA,M,Athletics,0,0,0,1
2020,THA,M,Athletics,0,0,0,1
2024,THA,M,Athletics,0,0,0,1
1992,THA,M,Badminton,0,0,0,4
1996,THA,M,Badminton,0,0,0,5
2000,THA,M,Badminton,0,0,0,4
2004,THA,M,Badminton,0,0,0,5
2008,THA,M,Badminton,0,0,0,2
2012,THA,M,Badminton,0,0,0,4
2016,THA,M,Badminton,0,0,0,2
2020,THA,M,Badminton,0,0,0,2
2024,THA,M,Badminton,0,0,1,4
1956,THA,M,Basketball,0,0,0,9
1956,THA,M,Boxing,0,0,0,5
1960,THA,M,Boxing,0,0,0,4
1964,THA,M,Boxing,0,0,0,5
1968,THA,M,Boxing,0,0,0,3
1972,THA,M,Boxing,0,0,0,7
1976,THA,M,Boxing,1,0,0,5
1984,THA,M,Boxing,0,0,1,5
1988,THA,M,Boxing,1,0,0,6
1992,THA,M,Boxing,1,0,0,6
1996,THA,M,Boxing,1,1,0,6
2000,THA,M,Boxing,1,1,0,9
2004,THA,M,Boxing,1,1,1,6
2008,THA,M,Boxing,0,1,1,8
2012,THA,M,Boxing,0,0,1,3
2016,THA,M,Boxing,0,0,0,4
2020,THA,M,Boxing,0,0,0,1
2024,THA,M,Boxing,0,0,0,3
2012,THA,M,Canoeing,0,0,0,1
1964,THA,M,Cycling,0,0,0,8
1968,THA,M,Cycling,0,0,0,7
1972,THA,M,Cycling,0,0,0,7
1976,THA,M,Cycling,0,0,0,6
2024,THA,M,Cycling,0,0,0,4
1976,THA,M,Diving,0,0,0,1
1996,THA,M,Diving,0,0,0,1
2000,THA,M,Diving,0,0,0,2
2004,THA,M,Equestrianism,0,0,0,1
2020,THA,M,Equestrianism,0,0,0,2
1976,THA,M,Fencing,0,0,0,5
2004,THA,M,Fencing,0,0,0,2
2008,THA,M,Fencing,0,0,0,2
1956,THA,M,Football,0,0,0,11
1968,THA,M,Football,0,0,0,17
2016,THA,M,Golf,0,0,0,2
2020,THA,M,Golf,0,0,0,2
2024,THA,M,Golf,0,0,0,2
1964,THA,M,Judo,0,0,0,3
1972,THA,M,Judo,0,0,0,1
1976,THA,M,Judo,0,0,0,1
1996,THA,M,Judo,0,0,0,1
2012,THA,M,Judo,0,0,0,1
2016,THA,M,Judo,0,0,0,1
2024,THA,M,Judo,0,0,0,1
2024,THA,M,Modern Pentathlon,0,0,0,1
2016,THA,M,Rowing,0,0,0,1
2020,THA,M,Rowing,0,0,0,2
2024,THA,M,Rowing,0,0,0,1
1956,THA,M,Sailing,0,0,0,2
1960,THA,M,Sailing,0,0,0,2
1964,THA,M,Sailing,0,0,0,3
1968,THA,M,Sailing,0,0,0,1
1972,THA,M,Sailing,0,0,0,3
1976,THA,M,Sailing,0,0,0,2
1984,THA,M,Sailing,0,0,0,1
1988,THA,M,Sailing,0,0,0,1
1992,THA,M,Sailing,0,0,0,1
1996,THA,M,Sailing,0,0,0,1
2000,THA,M,Sailing,0,0,0,2
2004,THA,M,Sailing,0,0,0,1
2008,THA,M,Sailing,0,0,0,1
2012,THA,M,Sailing,0,0,0,2
2016,THA,M,Sailing,0,0,0,2
2020,THA,M,Sailing,0,0,0,1
2024,THA,M,Sailing,0,0,0,2
1960,THA,M,Shooting,0,0,0,6
1964,THA,M,Shooting,0,0,0,10
1968,THA,M,Shooting,0,0,0,11
1972,THA,M,Shooting,0,0,0,10
1976,THA,M,Shooting,0,0,0,12
1984,THA,M,Shooting,0,0,0,13
1988,THA,M,Shooting,0,0,0,1
1992,THA,M,Shooting,0,0,0,1
1996,THA,M,Shooting,0,0,0,2
2000,THA,M,Shooting,0,0,0,2
2004,THA,M,Shooting,0,0,0,2
2008,THA,M,Shooting,0,0,0,1
2012,THA,M,Shooting,0,0,0,1
2016,THA,M,Shooting,0,0,0,2
2020,THA,M,Shooting,0,0,0,2
2024,THA,M,Shooting,0,0,0,1
1964,THA,M,Swimming,0,0,0,2
1992,THA,M,Swimming,0,0,0,1
1996,THA,M,Swimming,0,0,0,4
2000,THA,M,Swimming,0,0,0,5
2004,THA,M,Swimming,0,0,0,3
2012,THA,M,Swimming,0,0,0,1
2016,THA,M,Swimming,0,0,0,1
2020,THA,M,Swimming,0,0,0,1
2024,THA,M,Swimming,0,0,0,1
2016,THA,M,Table Tennis,0,0,0,1
2004,THA,M,Taekwondo,0,0,0,2
2008,THA,M,Taekwondo,0,0,0,1
2012,THA,M,Taekwondo,0,0,0,1
2016,THA,M,Taekwondo,0,0,1,1
2020,THA,M,Taekwondo,0,0,0,1
2024,THA,M,Taekwondo,0,0,0,1
2000,THA,M,Tennis,0,0,0,1
2004,THA,M,Tennis,0,0,0,1
2016,THA,M,Tennis,0,0,0,2
1964,THA,M,Weightlifting,0,0,0,4
1968,THA,M,Weightlifting,0,0,0,2
1972,THA,M,Weightlifting,0,0,0,1
1976,THA,M,Weightlifting,0,0,0,1
1992,THA,M,Weightlifting,0,0,0,1
1996,THA,M,Weightlifting,0,0,0,1
2000,THA,M,Weightlifting,0,0,0,1
2004,THA,M,Weightlifting,0,0,0,1
2008,THA,M,Weightlifting,0,0,0,3
2012,THA,M,Weightlifting,0,0,0,3
2016,THA,M,Weightlifting,1,0,0,5
2024,THA,M,Weightlifting,0,0,2,2
2004,TJK,F,Archery,0,0,0,1
2008,TJK,F,Archery,0,0,0,1
1996,TJK,F,Athletics,0,0,0,1
2000,TJK,F,Athletics,0,0,0,1
2004,TJK,F,Athletics,0,0,0,1
2008,TJK,F,Athletics,0,0,0,1
2012,TJK,F,Athletics,0,0,0,1
2016,TJK,F,Athletics,0,0,0,1
2012,TJK,F,Boxing,1,0,0,1
2024,TJK,F,Boxing,0,0,0,1
1996,TJK,F,Diving,0,0,0,1
2000,TJK,F,Swimming,0,0,0,1
2008,TJK,F,Swimming,0,0,0,1
2012,TJK,F,Swimming,0,0,0,1
2016,TJK,F,Swimming,0,0,0,1
2020,TJK,F,Swimming,0,0,0,1
2024,TJK,F,Swimming,0,0,0,1
2024,TJK,F,Taekwondo,0,0,0,1
2004,TJK,F,Wrestling,0,0,0,2
2000,TJK,M,Athletics,0,0,0,1
2004,TJK,M,Athletics,0,0,0,1
2008,TJK,M,Athletics,0,0,0,1
2012,TJK,M,Athletics,0,0,0,1
2016,TJK,M,Athletics,0,1,0,1
2020,TJK,M,Athletics,0,0,0,1
2024,TJK,M,Athletics,0,0,0,1
1996,TJK,M,Boxing,0,0,0,1
2004,TJK,M,Boxing,0,0,0,1
2008,TJK,M,Boxing,0,0,0,3
2012,TJK,M,Boxing,0,0,0,3
2016,TJK,M,Boxing,0,0,0,1
2020,TJK,M,Boxing,0,0,0,3
2024,TJK,M,Boxing,1,0,0,2
1996,TJK,M,Diving,0,0,0,1
1996,TJK,M,Judo,0,0,0,3
2008,TJK,M,Judo,1,0,0,3
2012,TJK,M,Judo,0,0,0,2
2016,TJK,M,Judo,0,0,0,2
2020,TJK,M,Judo,0,0,0,4
2024,TJK,M,Judo,2,0,0,6
2004,TJK,M,Shooting,0,0,0,1
2008,TJK,M,Shooting,0,0,0,1
2012,TJK,M,Shooting,0,0,0,1
2000,TJK,M,Swimming,0,0,0,1
2008,TJK,M,Swimming,0,0,0,1
2016,TJK,M,Swimming,0,0,0,1
2020,TJK,M,Swimming,0,0,0,1
2024,TJK,M,Swimming,0,0,0,1
2012,TJK,M,Taekwondo,0,0,0,2
2008,TJK,M,Weightlifting,0,0,0,1
1996,TJK,M,Wrestling,0,0,0,1
2004,TJK,M,Wrestling,0,0,0,2
2008,TJK,M,Wrestling,0,0,1,2
2012,TJK,M,Wrestling,0,0,0,4
2024,TJK,M,Wrestling,0,0,0,1
2000,TKM,F,Athletics,0,0,0,1
2004,TKM,F,Athletics,0,0,0,1
2008,TKM,F,Athletics,0,0,0,1
2012,TKM,F,Athletics,0,0,0,1
2016,TKM,F,Athletics,0,0,0,1
2024,TKM,F,Athletics,0,0,0,1
1996,TKM,F,Judo,0,0,0,2
2000,TKM,F,Judo,0,0,0,2
2004,TKM,F,Judo,0,0,0,1
2008,TKM,F,Judo,0,0,0,1
2012,TKM,F,Judo,0,0,0,1
2016,TKM,F,Judo,0,0,0,2
2020,TKM,F,Judo,0,0,0,1
2024,TKM,F,Judo,0,0,0,1
2008,TKM,F,Shooting,0,0,0,1
2004,TKM,F,Swimming,0,0,0,1
2008,TKM,F,Swimming,0,0,0,1
2012,TKM,F,Swimming,0,0,0,1
2016,TKM,F,Swimming,0,0,0,1
2020,TKM,F,Swimming,0,0,0,1
2024,TKM,F,Swimming,0,0,0,1
1996,TKM,F,Table Tennis,0,0,0,1
2000,TKM,F,Table Tennis,0,0,0,1
2016,TKM,F,Weightlifting,0,0,0,1
2020,TKM,F,Weightlifting,0,0,1,2
1996,TKM,M,Athletics,0,0,0,1
2000,TKM,M,Athletics,0,0,0,1
2004,TKM,M,Athletics,0,0,0,1
2008,TKM,M,Athletics,0,0,0,1
2012,TKM,M,Athletics,0,0,0,1
2016,TKM,M,Athletics,0,0,0,1
2020,TKM,M,Athletics,0,0,0,1
1996,TKM,M,Boxing,0,0,0,1
2004,TKM,M,Boxing,0,0,0,2
2008,TKM,M,Boxing,0,0,0,1
2012,TKM,M,Boxing,0,0,0,2
2016,TKM,M,Boxing,0,0,0,1
2008,TKM,M,Judo,0,0,0,1
2024,TKM,M,Judo,0,0,0,1
1996,TKM,M,Shooting,0,0,0,1
2000,TKM,M,Shooting,0,0,0,1
2004,TKM,M,Shooting,0,0,0,1
2004,TKM,M,Swimming,0,0,0,1
2008,TKM,M,Swimming,0,0,0,1
2012,TKM,M,Swimming,0,0,0,1
2016,TKM,M,Swimming,0,0,0,1
2020,TKM,M,Swimming,0,0,0,1
2024,TKM,M,Swimming,0,0,0,1
2000,TKM,M,Weightlifting,0,0,0,1
2004,TKM,M,Weightlifting,0,0,0,1
2008,TKM,M,Weightlifting,0,0,0,2
2012,TKM,M,Weightlifting,0,0,0,3
2016,TKM,M,Weightlifting,0,0,0,1
2020,TKM,M,Weightlifting,0,0,0,3
2024,TKM,M,Weightlifting,0,0,0,1
1996,TKM,M,Wrestling,0,0,0,1
2000,TKM,M,Wrestling,0,0,0,1
2004,TLS,F,Athletics,0,0,0,1
2008,TLS,F,Athletics,0,0,0,1
2012,TLS,F,Athletics,0,0,0,1
2016,TLS,F,Athletics,0,0,0,1
2016,TLS,F,Cycling,0,0,0,1
2020,TLS,F,Swimming,0,0,0,1
2024,TLS,F,Swimming,0,0,0,1
2024,TLS,F,Taekwondo,0,0,0,1
2004,TLS,M,Athletics,0,0,0,1
2012,TLS,M,Athletics,0,0,0,1
2016,TLS,M,Athletics,0,0,0,1
2020,TLS,M,Athletics,0,0,0,1
2024,TLS,M,Athletics,0,0,0,1
2020,TLS,M,Swimming,0,0,0,1
2024,TLS,M,Swimming,0,0,0,1
2000,TOG,F,Athletics,0,0,0,1
2004,TOG,F,Athletics,0,0,0,1
2008,TOG,F,Athletics,0,0,0,1
2012,TOG,F,Athletics,0,0,0,1
2016,TOG,F,Athletics,0,0,0,1
2024,TOG,F,Athletics,0,0,0,1
2016,TOG,F,Rowing,0,0,0,1
2020,TOG,F,Rowing,0,0,0,1
2024,TOG,F,Rowing,0,0,0,1
2012,TOG,F,Swimming,0,0,0,1
2016,TOG,F,Swimming,0,0,0,1
2024,TOG,F,Swimming,0,0,0,1
1972,TOG,M,Athletics,0,0,0,2
1984,TOG,M,Athletics,0,0,0,3
1988,TOG,M,Athletics,0,0,0,3
1992,TOG,M,Athletics,0,0,0,4
1996,TOG,M,Athletics,0,0,0,5
2000,TOG,M,Athletics,0,0,0,1
2004,TOG,M,Athletics,0,0,0,1
2012,TOG,M,Athletics,0,0,0,1
2016,TOG,M,Athletics,0,0,0,1
2020,TOG,M,Athletics,0,0,0,1
1972,TOG,M,Boxing,0,0,0,2
1984,TOG,M,Boxing,0,0,0,3
1988,TOG,M,Boxing,0,0,0,3
2004,TOG,M,Canoeing,0,0,0,1
2008,TOG,M,Canoeing,1,0,0,1
2012,TOG,M,Canoeing,0,0,0,1
1972,TOG,M,Cycling,0,0,0,3
1992,TOG,M,Cycling,0,0,0,2
2000,TOG,M,Judo,0,0,0,1
2008,TOG,M,Judo,0,0,0,1
2012,TOG,M,Judo,0,0,0,1
2016,TOG,M,Swimming,0,0,0,1
2020,TOG,M,Swimming,0,0,0,1
2024,TOG,M,Swimming,0,0,0,1
2012,TOG,M,Table Tennis,0,0,0,1
2020,TOG,M,Table Tennis,0,0,0,1
2008,TOG,M,Tennis,0,0,0,1
2024,TOG,M,Triathlon,0,0,0,1
1972,TPE,F,Archery,0,0,0,1
1984,TPE,F,Archery,0,0,0,1
1988,TPE,F,Archery,0,0,0,3
1992,TPE,F,Archery,0,0,0,3
1996,TPE,F,Archery,0,0,0,3
2000,TPE,F,Archery,0,0,0,3
2004,TPE,F,Archery,1,0,0,3
2008,TPE,F,Archery,0,0,0,3
2012,TPE,F,Archery,0,0,0,3
2016,TPE,F,Archery,1,0,0,3
2020,TPE,F,Archery,0,0,0,3
2024,TPE,F,Archery,0,0,0,3
1960,TPE,F,Athletics,0,0,0,3
1964,TPE,F,Athletics,0,0,0,2
1968,TPE,F,Athletics,1,0,0,4
1972,TPE,F,Athletics,0,0,0,3
1984,TPE,F,Athletics,0,0,0,4
1988,TPE,F,Athletics,0,0,0,6
1992,TPE,F,Athletics,0,0,0,2
1996,TPE,F,Athletics,0,0,0,2
2000,TPE,F,Athletics,0,0,0,1
2004,TPE,F,Athletics,0,0,0,1
2008,TPE,F,Athletics,0,0,0,1
2012,TPE,F,Athletics,0,0,0,2
2016,TPE,F,Athletics,0,0,0,2
2020,TPE,F,Athletics,0,0,0,1
2024,TPE,F,Athletics,0,0,0,1
1996,TPE,F,Badminton,0,0,0,4
2000,TPE,F,Badminton,0,0,0,4
2004,TPE,F,Badminton,0,0,0,3
2008,TPE,F,Badminton,0,0,0,3
2012,TPE,F,Badminton,0,0,0,4
2016,TPE,F,Badminton,0,0,0,1
2020,TPE,F,Badminton,0,0,1,1
2024,TPE,F,Badminton,0,0,0,2
2016,TPE,F,Boxing,0,0,0,1
2020,TPE,F,Boxing,1,0,0,4
2024,TPE,F,Boxing,2,1,0,4
2020,TPE,F,Canoeing,0,0,0,1
2024,TPE,F,Canoeing,0,0,0,1
1988,TPE,F,Cycling,0,0,0,1
2000,TPE,F,Cycling,0,0,0,2
2012,TPE,F,Cycling,0,0,0,1
2016,TPE,F,Cycling,0,0,0,2
2000,TPE,F,Diving,0,0,0,3
2016,TPE,F,Equestrianism,0,0,0,1
2020,TPE,F,Equestrianism,0,0,0,1
2012,TPE,F,Fencing,0,0,0,1
2016,TPE,F,Golf,0,0,0,2
2020,TPE,F,Golf,0,0,0,2
2024,TPE,F,Golf,0,0,0,2
1964,TPE,F,Gymnastics,0,0,0,1
1968,TPE,F,Gymnastics,0,0,0,2
2020,TPE,F,Gymnastics,0,0,0,1
2024,TPE,F,Gymnastics,0,0,0,1
1992,TPE,F,Judo,0,0,0,2
1996,TPE,F,Judo,0,0,0,6
2000,TPE,F,Judo,0,0,0,3
2004,TPE,F,Judo,0,0,0,2
2008,TPE,F,Judo,0,0,0,2
2016,TPE,F,Judo,0,0,0,1
2020,TPE,F,Judo,0,0,0,2
2024,TPE,F,Judo,0,0,0,2
2020,TPE,F,Karate,1,0,0,1
2004,TPE,F,Rowing,0,0,0,1
2016,TPE,F,Rowing,0,0,0,1
2020,TPE,F,Rowing,0,0,0,1
1988,TPE,F,Shooting,0,0,0,1
1992,TPE,F,Shooting,0,0,0,1
2000,TPE,F,Shooting,0,0,0,1
2004,TPE,F,Shooting,0,0,0,1
2008,TPE,F,Shooting,0,0,0,1
2012,TPE,F,Shooting,0,0,0,3
2016,TPE,F,Shooting,0,0,0,3
2020,TPE,F,Shooting,0,0,0,3
2024,TPE,F,Shooting,0,0,0,6
1996,TPE,F,Softball,0,0,0,15
2004,TPE,F,Softball,0,0,0,15
2008,TPE,F,Softball,0,0,0,15
1968,TPE,F,Swimming,0,0,0,2
1972,TPE,F,Swimming,0,0,0,2
1984,TPE,F,Swimming,0,0,0,2
1988,TPE,F,Swimming,0,0,0,5
1996,TPE,F,Swimming,0,0,0,7
2000,TPE,F,Swimming,0,0,0,6
2004,TPE,F,Swimming,0,0,0,6
2008,TPE,F,Swimming,0,0,0,3
2012,TPE,F,Swimming,0,0,0,2
2016,TPE,F,Swimming,0,0,0,1
2020,TPE,F,Swimming,0,0,0,1
2024,TPE,F,Swimming,0,0,0,1
1988,TPE,F,Table Tennis,0,0,0,2
1996,TPE,F,Table Tennis,0,0,1,4
